Source,Dice,PosID,Target,pool,player,
C40-欽天監 : P251-主簿,良,C12-大計 : P75-紀錄,紀錄,,,
C40-欽天監 : P253-挈壺,良,C12-大計 : P75-紀錄,紀錄,,,
C40-欽天監 : P254-五官監侯,良,C12-大計 : P75-紀錄,紀錄,,,
C40-欽天監 : P255-五官司書,良,C12-大計 : P75-紀錄,紀錄,,,
C40-欽天監 : P256-博士,良,C12-大計 : P75-紀錄,紀錄,,,
C41-國子監 : P262-助教,良,C12-大計 : P75-紀錄,紀錄,,,
C41-國子監 : P265-典簿,良,C12-大計 : P75-紀錄,紀錄,,,
C41-國子監 : P266-典籍,良,C12-大計 : P75-紀錄,紀錄,,,
C42-鴻臚寺 : P268-正卿,良,C12-大計 : P75-紀錄,紀錄,,,
C42-鴻臚寺 : P269-少卿,良,C12-大計 : P75-紀錄,紀錄,,,
C42-鴻臚寺 : P270-主簿,良,C12-大計 : P75-紀錄,紀錄,,,
C42-鴻臚寺 : P271-鳴贊,良,C12-大計 : P75-紀錄,紀錄,,,
C42-鴻臚寺 : P272-序班,良,C12-大計 : P75-紀錄,紀錄,,,
C43-光祿寺 : P274-少卿,良,C12-大計 : P75-紀錄,紀錄,,,
C43-光祿寺 : P276-滿缺署丞,良,C12-大計 : P75-紀錄,紀錄,,,
C44-太僕寺 : P279-少卿,良,C12-大計 : P75-紀錄,紀錄,,,
C44-太僕寺 : P280-滿缺員外,良,C12-大計 : P75-紀錄,紀錄,,,
C44-太僕寺 : P281-滿缺主事,良,C12-大計 : P75-紀錄,紀錄,,,
C45-太常寺 : P283-正卿,良,C12-大計 : P75-紀錄,紀錄,,,
C45-太常寺 : P284-少卿,良,C12-大計 : P75-紀錄,紀錄,,,
C45-太常寺 : P285-寺丞,良,C12-大計 : P75-紀錄,紀錄,,,
C45-太常寺 : P288-協律郎,良,C12-大計 : P75-紀錄,紀錄,,,
C45-太常寺 : P289-讀祝官,良,C12-大計 : P75-紀錄,紀錄,,,
C45-太常寺 : P290-贊禮郎,良,C12-大計 : P75-紀錄,紀錄,,,
C45-太常寺 : P291-司樂,良,C12-大計 : P75-紀錄,紀錄,,,
C46-大理寺 : P292-正卿,良,C12-大計 : P75-紀錄,紀錄,,,
C46-大理寺 : P293-少卿,良,C12-大計 : P75-紀錄,紀錄,,,
C47-通政司 : P296-通政使,良,C12-大計 : P75-紀錄,紀錄,,,
C47-通政司 : P297-副使,良,C12-大計 : P75-紀錄,紀錄,,,
C48-會同四譯館 : P303-員外,良,C12-大計 : P75-紀錄,紀錄,,,
C48-會同四譯館 : P304-大使,良,C12-大計 : P75-紀錄,紀錄,,,
C48-會同四譯館 : P305-教正序班,良,C12-大計 : P75-紀錄,紀錄,,,
C50-都察院 : P311-都事,良,C12-大計 : P75-紀錄,紀錄,,,
C50-都察院 : P312-經歷,良,C12-大計 : P75-紀錄,紀錄,,,
C52-內務府 : P319-總管,柔,C12-大計 : P75-紀錄,紀錄,,,
C52-內務府 : P319-總管,良,C12-大計 : P75-紀錄,紀錄,,,
C53-宗人府 : P323-理事官,良,C12-大計 : P75-紀錄,紀錄,,,
C53-宗人府 : P325-主事,良,C12-大計 : P75-紀錄,紀錄,,,
C53-宗人府 : P326-經歷,良,C12-大計 : P75-紀錄,紀錄,,,
C56-翰林院 : P349-典簿,良,C12-大計 : P75-紀錄,紀錄,,,
C56-翰林院 : P350-待詔,良,C12-大計 : P75-紀錄,紀錄,,,
C57-內閣 : P355-侍讀學士,良,C12-大計 : P75-紀錄,紀錄,,,
C57-內閣 : P356-侍讀,良,C12-大計 : P75-紀錄,紀錄,,,
C61-內廷 : P387-主事,良,C12-大計 : P75-紀錄,紀錄,,,
C65-外員內調降用 : P415-布政內調,柔,C12-大計 : P75-紀錄,紀錄,,,
C65-外員內調降用 : P416-按察內調,良,C12-大計 : P75-紀錄,紀錄,,,
C32-工部 : P190-尚書,良,C61-內廷 : P382-經筵講官,經筵講官,5,,
C34-兵部 : P208-右侍郎,良,C61-內廷 : P382-經筵講官,經筵講官,5,,
C35-禮部 : P213-尚書,柔,C61-內廷 : P382-經筵講官,經筵講官,5,,
C37-吏部 : P232-左侍郎,良,C61-內廷 : P382-經筵講官,經筵講官,5,,
C37-吏部 : P233-右侍郎,良,C61-內廷 : P382-經筵講官,經筵講官,5,,
C50-都察院 : P307-左都御史,良,C61-內廷 : P382-經筵講官,經筵講官,5,,
C52-內務府 : P320-郎中,柔,C58-欽差 : P363-織造,織造,5,,
C52-內務府 : P321-員外,柔,C58-欽差 : P363-織造,織造,5,,
C14-捐班候補 : P82-額外郎中,良,C14-捐班候補 : P91-試用學習,試用學習,0,,
C14-捐班候補 : P82-額外郎中,柔,C14-捐班候補 : P91-試用學習,試用學習,0,,
C14-捐班候補 : P83-額外員外,良,C14-捐班候補 : P91-試用學習,試用學習,0,,
C14-捐班候補 : P83-額外員外,柔,C14-捐班候補 : P91-試用學習,試用學習,0,,
C14-捐班候補 : P84-額外主事,良,C14-捐班候補 : P91-試用學習,試用學習,0,,
C14-捐班候補 : P84-額外主事,柔,C14-捐班候補 : P91-試用學習,試用學習,0,,
C14-捐班候補 : P85-候補道,良,C14-捐班候補 : P91-試用學習,試用學習,0,,
C14-捐班候補 : P85-候補道,柔,C14-捐班候補 : P91-試用學習,試用學習,0,,
C14-捐班候補 : P86-候補府,良,C14-捐班候補 : P91-試用學習,試用學習,0,,
C14-捐班候補 : P86-候補府,柔,C14-捐班候補 : P91-試用學習,試用學習,0,,
C14-捐班候補 : P87-候補州,良,C14-捐班候補 : P91-試用學習,試用學習,0,,
C14-捐班候補 : P87-候補州,柔,C14-捐班候補 : P91-試用學習,試用學習,0,,
C14-捐班候補 : P88-候補縣,良,C14-捐班候補 : P91-試用學習,試用學習,0,,
C14-捐班候補 : P88-候補縣,柔,C14-捐班候補 : P91-試用學習,試用學習,0,,
C14-捐班候補 : P89-候補京官佐雜,良,C14-捐班候補 : P91-試用學習,試用學習,0,,
C14-捐班候補 : P89-候補京官佐雜,柔,C14-捐班候補 : P91-試用學習,試用學習,0,,
C14-捐班候補 : P90-候補外官佐雜,良,C14-捐班候補 : P91-試用學習,試用學習,0,,
C14-捐班候補 : P90-候補外官佐雜,柔,C14-捐班候補 : P91-試用學習,試用學習,0,,
C1-出身 : P2-軍功,柔,C12-大計 : P73-議叙,議叙,0,,
C1-出身 : P2-軍功,良,C12-大計 : P73-議叙,議叙,0,,
C57-內閣 : P353-協辦大學士,良,C64-特恩 : P408-賜裘,賜裘,20,,
C55-詹事府 : P328-正詹,柔,C61-內廷 : P386-起居注,起居注,5,,
C55-詹事府 : P329-少詹,良,C61-內廷 : P386-起居注,起居注,5,,
C55-詹事府 : P332-洗馬,良,C61-內廷 : P386-起居注,起居注,5,,
C56-翰林院 : P341-侍讀學士,良,C61-內廷 : P386-起居注,起居注,5,,
C34-兵部 : P206-尚書,柔,C61-內廷 : P385-軍機處,軍機處,5,,
C36-戶部 : P223-尚書,良,C61-內廷 : P385-軍機處,軍機處,5,,
C36-戶部 : P225-右侍郎,良,C61-內廷 : P385-軍機處,軍機處,5,,
C57-內閣 : P354-內閣學士,功,C61-內廷 : P385-軍機處,軍機處,5,,
C57-內閣 : P359-中書,功,C61-內廷 : P385-軍機處,軍機處,5,,
C28-督院 : P175-總督,才,C58-欽差 : P361-軍略大臣,軍略大臣,5,,
C37-吏部 : P231-尚書,才,C58-欽差 : P361-軍略大臣,軍略大臣,5,,
C62-殿閣 : P389-武英馭大學士,才,C58-欽差 : P361-軍略大臣,軍略大臣,5,,
C62-殿閣 : P391-體仁閣大學士,才,C58-欽差 : P361-軍略大臣,軍略大臣,5,,
C32-工部 : P193-郎中,柔,C4-鄉試 : P34-主考,鄉試主考,5,,
C33-刑部 : P203-主事,柔,C4-鄉試 : P34-主考,鄉試主考,5,,
C35-禮部 : P216-郎中,柔,C4-鄉試 : P34-主考,鄉試主考,5,,
C15-縣 : P93-煩縣,柔,C4-鄉試 : P35-同考,鄉試同考,5,,repaired
C15-縣 : P94-簡縣,柔,C4-鄉試 : P35-同考,鄉試同考,5,,repaired
C15-縣 : P95-揀發知縣,柔,C4-鄉試 : P35-同考,鄉試同考,5,,
C17-直隸州 : P110-州同,柔,C4-鄉試 : P35-同考,鄉試同考,5,,
C48-會同四譯館 : P301-館卿,功,C38-鑾儀衛 : P238-鑾儀使,鑾儀使,5,,
C51-理藩院 : P313-尚書,良,C38-鑾儀衛 : P238-鑾儀使,鑾儀使,5,,
C51-理藩院 : P314/5-左右侍郎,良,C38-鑾儀衛 : P238-鑾儀使,鑾儀使,5,,
C52-內務府 : P320-郎中,良,C58-欽差 : P362-關督,關督,5,,
C52-內務府 : P321-員外,良,C58-欽差 : P362-關督,關督,5,,
C39-太醫院 : P241-院使,德,C39-太醫院 : P241-院使,院使加級,,,
C39-太醫院 : P241-院使,才,C39-太醫院 : P241-院使,院使加級,,,
C20-京府 : P127-府尹,賍,C13-處分 : P79-革留,革留,,,
C24-鹽院 : P153-運使,賍,C13-處分 : P79-革留,革留,,,
C24-鹽院 : P154-運同,賍,C13-處分 : P79-革留,革留,,,
C25-河院 : P161-河督,賍,C13-處分 : P79-革留,革留,,,
C25-河院 : P162-河道,賍,C13-處分 : P79-革留,革留,,,
C25-河院 : P163-同知,賍,C13-處分 : P79-革留,革留,,,
C26-漕院 : P171-漕督,賍,C13-處分 : P79-革留,革留,,,
C27-撫院 : P173-巡撫,賍,C13-處分 : P79-革留,革留,,,
C28-督院 : P175-總督,賍,C13-處分 : P79-革留,革留,,,
C30-倉場 : P180-總督,賍,C13-處分 : P79-革留,革留,,,
C32-工部 : P190-尚書,賍,C13-處分 : P79-革留,革留,,,
C33-刑部 : P198-尚書,賍,C13-處分 : P79-革留,革留,,,
C34-兵部 : P206-尚書,賍,C13-處分 : P79-革留,革留,,,
C34-兵部 : P207-左侍郎,賍,C13-處分 : P79-革留,革留,,,
C35-禮部 : P213-尚書,賍,C13-處分 : P79-革留,革留,,,
C36-戶部 : P223-尚書,賍,C13-處分 : P79-革留,革留,,,
C50-都察院 : P307-左都御史,賍,C13-處分 : P79-革留,革留,,,
C51-理藩院 : P313-尚書,賍,C13-處分 : P79-革留,革留,,,
C34-兵部 : P209-郎中,良,C34-兵部 : P212-馬館,馬館,5,,
C34-兵部 : P211-主事,良,C34-兵部 : P212-馬館,馬館,5,,
C52-內務府 : P320-郎中,功,C24-鹽院 : P152-鹽政,鹽政,5,,
C52-內務府 : P321-員外,功,C24-鹽院 : P152-鹽政,鹽政,5,,
C25-河院 : P161-河督,良,C64-特恩 : P411-黃馬褂,黃馬褂,20,,
C26-漕院 : P171-漕督,良,C64-特恩 : P411-黃馬褂,黃馬褂,20,,
C27-撫院 : P173-巡撫,良,C64-特恩 : P411-黃馬褂,黃馬褂,20,,
C28-督院 : P175-總督,良,C64-特恩 : P411-黃馬褂,黃馬褂,20,,
C30-倉場 : P180-總督,良,C64-特恩 : P411-黃馬褂,黃馬褂,20,,
